celltype,gene,per_exp,avg_exp,scaled_avg_exp
CD8.M,ITGA2B,0.00165700082850041,0.00182962530240269,0.00166198832876282
CD8.M,CD33,0.00345208505937586,0.00368837877289888,0.010722889500844
CD8.M,MPO,0.0356715456135506,0.0441878065525198,0.0222726507547427
CD8.M,CTSG,0.00561539169658474,0.00632259824403918,0.00719354607774227
CD8.M,AZU1,0.0176286477032127,0.0231287078992905,0.0140764779017311
CD8.M,LYZ,0.20818374298076,0.26956070574153,0.0606471102845932
CD8.M,S100A8,0.156954800699623,0.207499395189164,0.0529099803115973
CD8.M,S100A9,0.177805394458253,0.237507981205015,0.0561310550137582
CD8.M,CD14,0.0090674767559606,0.00998112112768193,0.0124970564372535
CD8.M,ITGAM,0.0696860903986008,0.0856598178675398,0.178068175282415
CD8.M,FCGR3A,0.117002669612446,0.151750736524905,0.0953169960109627
CD8.M,FCER1G,0.0443247721623861,0.0506366494914027,0.0199163796702947
CD8.M,FCER1A,0.00460278007916782,0.00492165227055074,0.0104941600820034
CD8.M,CLEC10A,0.000920556015833564,0.000985651219276361,0.00449308142189651
CD8.M,IL3RA,0.00239344564116727,0.00289750925434954,0.00314297234361705
CD8.M,IRF8,0.0253613182362147,0.029435525759461,0.0181165499250111
CD8.M,CD4,0.0342907115898002,0.0385693175250848,0.126910794678414
CD8.M,IL7R,0.363021264843966,0.635676711926264,0.467529201151551
CD8.M,CD3E,0.735938506858142,1.24167441989505,0.890191765700909
CD8.M,CCR7,0.0509067476755961,0.0649552666975097,0.0813276558555754
CD8.M,CD8A,0.511967228205836,0.838310889433853,1
CD8.M,CCL5,0.967780539445825,2.76207315573829,1
CD8.M,GNLY,0.510632421982878,1.36580806952915,0.406874484575862
CD8.M,KLRB1,0.381432385160637,0.785826336721457,0.575773120178711
CD8.M,NKG7,0.87411396483476,2.32812280685261,0.768208687734714
CD8.M,CXCL12,0.000552333609500138,0.000488917705514165,0.000167314020889665
CD8.M,VCAM1,0.00989597717021081,0.0128701060015654,0.0122170025161442
CD4.N,SDC1,0.000679129284769632,0.000869720877864024,0.00134029367147537
CD4.N,MME,0.000929334810737391,0.00106154577581594,0.00233572621341043
CD4.N,CD19,0.00268077349251171,0.00307297780998653,0.00864682463953833
CD4.N,CD79A,0.0196232619651857,0.0223044336440632,0.0126672753649727
CD4.N,MS4A1,0.0105086320906459,0.0132322207538322,0.00837671007199519
CD4.N,KIT,0.00232333702684348,0.00334877884262024,0.0175253890462015
CD4.N,CD34,0.00378882653608321,0.00476831829824391,0.0104765287858071
CD4.N,CLC,0.00382457018265003,0.00457820254601961,0.0354604535235318
CD4.N,GYPA,0.024591628837974,0.0286035739543206,0.0170005695819413
CD4.N,PPBP,0.00632662544232763,0.00770460817564481,0.00261903340275717
CD4.N,ITGA2B,0.00218036244057619,0.00269375518711814,0.00244694346741675
CD4.N,CD33,0.00382457018265003,0.00415344055366915,0.012074921489236
CD4.N,MPO,0.0299889194695643,0.035328394697789,0.0178071069423719
CD4.N,CTSG,0.00418200664831826,0.00491262507095154,0.00558934688660296
CD4.N,AZU1,0.0104371447975122,0.0127390092526005,0.0077531517547368
CD4.N,LYZ,0.18629588590628,0.242934322769451,0.0546565740150529
CD4.N,S100A8,0.154662758694642,0.203110662800185,0.0517909035832913
CD4.N,S100A9,0.174357507952961,0.229492388955222,0.0542367033070986
CD4.N,CD14,0.00915037352110662,0.0105018675805109,0.0131490671409864
CD4.N,ITGAM,0.00507559781248883,0.00628602624655955,0.0130672846542018
CD4.N,FCGR3A,0.0086499624691711,0.0104897837348532,0.00658879618845718
CD4.N,FCER1G,0.0507917217714551,0.0606087016088193,0.0238385818313234
CD4.N,FCER1A,0.00457518676055331,0.00549292062765807,0.011712243209318
CD4.N,CLEC10A,0.0012510276298388,0.00140504528291105,0.00640488515015054
CD4.N,IL3RA,0.00400328841548415,0.00491307262286822,0.00532928457525267
CD4.N,IRF8,0.011902634306752,0.0140475633563284,0.00864579029263245
CD4.N,CD4,0.14647746363084,0.178599890044321,0.587675785558312
CD4.N,IL7R,0.68084497980484,1.29211563469209,0.950328648429543
CD4.N,CD3E,0.715659291560925,1.24205393015012,0.890463847414635
CD4.N,CCR7,0.504736033170104,0.798686080573374,1
CD4.N,CD8A,0.0171212067055081,0.0229675022475598,0.0273973564426328
CD4.N,CCL5,0.0769918147049362,0.11407695317118,0.041301206282021
CD4.N,GNLY,0.113486077849662,0.147535949619695,0.0439509875487982
CD4.N,KLRB1,0.0671980555456268,0.099422571761449,0.0728466859460479
CD4.N,NKG7,0.0865353683382779,0.108715718237116,0.0358728323940854
CD4.N,CXCL12,0.000822103871036923,0.000961579181113055,0.000329064947702443
